Datum;Tijd;Parameter;Locatie;Meting;Astronomisch getijden;Eenheid;Bemonsteringshoogte;Referentievlak;
9-12-2019;12:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;157;;cm;-999999999;NAP;
9-12-2019;13:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;167;;cm;-999999999;NAP;
9-12-2019;13:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;177;;cm;-999999999;NAP;
9-12-2019;13:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;187;;cm;-999999999;NAP;
9-12-2019;13:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;195;;cm;-999999999;NAP;
9-12-2019;13:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;201;;cm;-999999999;NAP;
9-12-2019;13:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;207;;cm;-999999999;NAP;
9-12-2019;14:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;213;;cm;-999999999;NAP;
9-12-2019;14:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;220;;cm;-999999999;NAP;
9-12-2019;14:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;220;;cm;-999999999;NAP;
9-12-2019;14:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;220;;cm;-999999999;NAP;
9-12-2019;14:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;220;;cm;-999999999;NAP;
9-12-2019;14:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;220;;cm;-999999999;NAP;
9-12-2019;15:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;216;;cm;-999999999;NAP;
9-12-2019;15:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;210;;cm;-999999999;NAP;
9-12-2019;15:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;203;;cm;-999999999;NAP;
9-12-2019;15:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;198;;cm;-999999999;NAP;
9-12-2019;15:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;190;;cm;-999999999;NAP;
9-12-2019;15:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;180;;cm;-999999999;NAP;
9-12-2019;16:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;170;;cm;-999999999;NAP;
9-12-2019;16:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;163;;cm;-999999999;NAP;
9-12-2019;16:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;158;;cm;-999999999;NAP;
9-12-2019;16:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;152;;cm;-999999999;NAP;
9-12-2019;16:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;147;;cm;-999999999;NAP;
9-12-2019;16:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;142;;cm;-999999999;NAP;
9-12-2019;17:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;137;;cm;-999999999;NAP;
9-12-2019;17:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;133;;cm;-999999999;NAP;
9-12-2019;17:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;127;;cm;-999999999;NAP;
9-12-2019;17:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;124;;cm;-999999999;NAP;
9-12-2019;17:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;119;;cm;-999999999;NAP;
9-12-2019;17:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;115;;cm;-999999999;NAP;
9-12-2019;18:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;111;;cm;-999999999;NAP;
9-12-2019;18:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;107;;cm;-999999999;NAP;
9-12-2019;18:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;102;;cm;-999999999;NAP;
9-12-2019;18:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;96;;cm;-999999999;NAP;
9-12-2019;18:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;92;;cm;-999999999;NAP;
9-12-2019;18:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;90;;cm;-999999999;NAP;
9-12-2019;19:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;87;;cm;-999999999;NAP;
9-12-2019;19:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;85;;cm;-999999999;NAP;
9-12-2019;19:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;83;;cm;-999999999;NAP;
9-12-2019;19:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;84;;cm;-999999999;NAP;
9-12-2019;19:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;86;;cm;-999999999;NAP;
9-12-2019;19:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;85;;cm;-999999999;NAP;
9-12-2019;20:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;83;;cm;-999999999;NAP;
9-12-2019;20:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;82;;cm;-999999999;NAP;
9-12-2019;20:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;80;;cm;-999999999;NAP;
9-12-2019;20:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;78;;cm;-999999999;NAP;
9-12-2019;20:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;76;;cm;-999999999;NAP;
9-12-2019;20:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;74;;cm;-999999999;NAP;
9-12-2019;21:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;73;;cm;-999999999;NAP;
9-12-2019;21:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;73;;cm;-999999999;NAP;
9-12-2019;21:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;72;;cm;-999999999;NAP;
9-12-2019;21:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;71;;cm;-999999999;NAP;
9-12-2019;21:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;69;;cm;-999999999;NAP;
9-12-2019;21:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;69;;cm;-999999999;NAP;
9-12-2019;22:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;67;;cm;-999999999;NAP;
9-12-2019;22:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;67;;cm;-999999999;NAP;
9-12-2019;22:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;67;;cm;-999999999;NAP;
9-12-2019;22:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;69;;cm;-999999999;NAP;
9-12-2019;22:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;70;;cm;-999999999;NAP;
9-12-2019;22:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;70;;cm;-999999999;NAP;
9-12-2019;23:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;72;;cm;-999999999;NAP;
9-12-2019;23:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;73;;cm;-999999999;NAP;
9-12-2019;23:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;73;;cm;-999999999;NAP;
9-12-2019;23:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;73;;cm;-999999999;NAP;
9-12-2019;23:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;76;;cm;-999999999;NAP;
9-12-2019;23:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;78;;cm;-999999999;NAP;
10-12-2019;00:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;78;;cm;-999999999;NAP;
10-12-2019;00:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;78;;cm;-999999999;NAP;
10-12-2019;00:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;82;;cm;-999999999;NAP;
10-12-2019;00:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;85;;cm;-999999999;NAP;
10-12-2019;00:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;85;;cm;-999999999;NAP;
10-12-2019;00:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;85;;cm;-999999999;NAP;
10-12-2019;01:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;88;;cm;-999999999;NAP;
10-12-2019;01:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;94;;cm;-999999999;NAP;
10-12-2019;01:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;97;;cm;-999999999;NAP;
10-12-2019;01:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;101;;cm;-999999999;NAP;
10-12-2019;01:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;107;;cm;-999999999;NAP;
10-12-2019;01:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;117;;cm;-999999999;NAP;
10-12-2019;02:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;124;;cm;-999999999;NAP;
10-12-2019;02:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;131;;cm;-999999999;NAP;
10-12-2019;02:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;139;;cm;-999999999;NAP;
10-12-2019;02:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;145;;cm;-999999999;NAP;
10-12-2019;02:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;150;;cm;-999999999;NAP;
10-12-2019;02:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;152;;cm;-999999999;NAP;
10-12-2019;03:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;154;;cm;-999999999;NAP;
10-12-2019;03:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;156;;cm;-999999999;NAP;
10-12-2019;03:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;156;;cm;-999999999;NAP;
10-12-2019;03:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;152;;cm;-999999999;NAP;
10-12-2019;03:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;145;;cm;-999999999;NAP;
10-12-2019;03:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;140;;cm;-999999999;NAP;
10-12-2019;04:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;134;;cm;-999999999;NAP;
10-12-2019;04:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;127;;cm;-999999999;NAP;
10-12-2019;04:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;117;;cm;-999999999;NAP;
10-12-2019;04:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;109;;cm;-999999999;NAP;
10-12-2019;04:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;103;;cm;-999999999;NAP;
10-12-2019;04:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;97;;cm;-999999999;NAP;
10-12-2019;05:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;90;;cm;-999999999;NAP;
10-12-2019;05:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;83;;cm;-999999999;NAP;
10-12-2019;05:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;78;;cm;-999999999;NAP;
10-12-2019;05:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;73;;cm;-999999999;NAP;
10-12-2019;05:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;66;;cm;-999999999;NAP;
10-12-2019;05:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;59;;cm;-999999999;NAP;
10-12-2019;06:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;52;;cm;-999999999;NAP;
10-12-2019;06:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;46;;cm;-999999999;NAP;
10-12-2019;06:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;40;;cm;-999999999;NAP;
10-12-2019;06:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;34;;cm;-999999999;NAP;
10-12-2019;06:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;28;;cm;-999999999;NAP;
10-12-2019;06:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;22;;cm;-999999999;NAP;
10-12-2019;07:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;17;;cm;-999999999;NAP;
10-12-2019;07:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;11;;cm;-999999999;NAP;
10-12-2019;07:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;6;;cm;-999999999;NAP;
10-12-2019;07:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;1;;cm;-999999999;NAP;
10-12-2019;07:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-4;;cm;-999999999;NAP;
10-12-2019;07:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-9;;cm;-999999999;NAP;
10-12-2019;08:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-12;;cm;-999999999;NAP;
10-12-2019;08:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-17;;cm;-999999999;NAP;
10-12-2019;08:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-20;;cm;-999999999;NAP;
10-12-2019;08:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-23;;cm;-999999999;NAP;
10-12-2019;08:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-25;;cm;-999999999;NAP;
10-12-2019;08:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-26;;cm;-999999999;NAP;
10-12-2019;09:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-26;;cm;-999999999;NAP;
10-12-2019;09:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-28;;cm;-999999999;NAP;
10-12-2019;09:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-27;;cm;-999999999;NAP;
10-12-2019;09:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-28;;cm;-999999999;NAP;
10-12-2019;09:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-28;;cm;-999999999;NAP;
10-12-2019;09:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-28;;cm;-999999999;NAP;
10-12-2019;10:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-29;;cm;-999999999;NAP;
10-12-2019;10:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-30;;cm;-999999999;NAP;
10-12-2019;10:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-30;;cm;-999999999;NAP;
10-12-2019;10:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-31;;cm;-999999999;NAP;
10-12-2019;10:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-31;;cm;-999999999;NAP;
10-12-2019;10:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-32;;cm;-999999999;NAP;
10-12-2019;11:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-33;;cm;-999999999;NAP;
10-12-2019;11:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-34;;cm;-999999999;NAP;
10-12-2019;11:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-35;;cm;-999999999;NAP;
10-12-2019;11:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-37;;cm;-999999999;NAP;
10-12-2019;11:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-37;;cm;-999999999;NAP;
10-12-2019;11:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-37;;cm;-999999999;NAP;
10-12-2019;12:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-38;;cm;-999999999;NAP;
10-12-2019;12:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-40;;cm;-999999999;NAP;
10-12-2019;12:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-40;;cm;-999999999;NAP;
10-12-2019;12:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-41;;cm;-999999999;NAP;
10-12-2019;12:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-40;;cm;-999999999;NAP;
10-12-2019;12:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-39;;cm;-999999999;NAP;
10-12-2019;13:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-36;;cm;-999999999;NAP;
10-12-2019;13:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-32;;cm;-999999999;NAP;
10-12-2019;13:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-25;;cm;-999999999;NAP;
10-12-2019;13:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-14;;cm;-999999999;NAP;
10-12-2019;13:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;-1;;cm;-999999999;NAP;
10-12-2019;13:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;16;;cm;-999999999;NAP;
10-12-2019;14:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;32;;cm;-999999999;NAP;
10-12-2019;14:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;47;;cm;-999999999;NAP;
10-12-2019;14:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;59;;cm;-999999999;NAP;
10-12-2019;14:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;69;;cm;-999999999;NAP;
10-12-2019;14:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;76;;cm;-999999999;NAP;
10-12-2019;14:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;82;;cm;-999999999;NAP;
10-12-2019;15:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;85;;cm;-999999999;NAP;
10-12-2019;15:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;88;;cm;-999999999;NAP;
10-12-2019;15:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;88;;cm;-999999999;NAP;
10-12-2019;15:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;87;;cm;-999999999;NAP;
10-12-2019;15:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;83;;cm;-999999999;NAP;
10-12-2019;15:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;78;;cm;-999999999;NAP;
10-12-2019;16:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;71;;cm;-999999999;NAP;
10-12-2019;16:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;63;;cm;-999999999;NAP;
10-12-2019;16:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;55;;cm;-999999999;NAP;
10-12-2019;16:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;47;;cm;-999999999;NAP;
10-12-2019;16:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;41;;cm;-999999999;NAP;
10-12-2019;16:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;34;;cm;-999999999;NAP;
10-12-2019;17:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;27;;cm;-999999999;NAP;
10-12-2019;17:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Krimpen a/d IJssel;20;;cm;-999999999;NAP;
